FiscalYear,TotalBudget_inf,TotalBudget_noinf,Year,GovernorsBudget,DEPAdministration_inf,DEPAdministration_noinf,TotalBudget_inf_float,TotalBudget_noinf_float,DEPAdministration_inf_float,DEPAdministration_noinf_float
FY18 Gov,"89,148,353","89,148,353",2018,1,"24,408,940","24,408,940",89148353.0,89148353.0,24408940.0,24408940.0
FY17,"85,391,866","83,458,113",2017,0,"24,970,919","24,405,437",85391866.0,83458113.0,24970919.0,24405437.0
FY16,"97,929,923","94,006,481",2016,0,"30,711,019","29,480,620",97929923.0,94006481.0,30711019.0,29480620.0
FY15,"93,959,058","89,591,520",2015,0,"30,453,795","29,038,198",93959058.0,89591520.0,30453795.0,29038198.0
FY14,"88,953,326","84,213,161",2014,0,"28,925,666","27,384,269",88953326.0,84213161.0,28925666.0,27384269.0
FY13,"83,797,499","78,117,082",2013,0,"27,488,026","25,624,684",83797499.0,78117082.0,27488026.0,25624684.0
FY12,"78,715,910","72,172,393",2012,0,"26,920,129","24,682,305",78715910.0,72172393.0,26920129.0,24682305.0
FY11,"83,852,246","74,681,622",2011,0,"28,871,887","25,714,271",83852246.0,74681622.0,28871887.0,25714271.0
FY10,"90,904,828","79,388,029",2010,0,"32,469,083","28,355,551",90904828.0,79388029.0,32469083.0,28355551.0
FY09,"102,028,028","88,233,575",2009,0,"38,965,203","33,697,007",102028028.0,88233575.0,38965203.0,33697007.0
FY08,"103,275,071","88,078,490",2008,0,"40,793,654","34,791,004",103275071.0,88078490.0,40793654.0,34791004.0
FY07,"104,200,759","85,689,132",2007,0,"41,686,406","34,280,671",104200759.0,85689132.0,41686406.0,34280671.0
FY06,"98,522,216","78,967,124",2006,0,"37,627,992","30,159,434",98522216.0,78967124.0,37627992.0,30159434.0
FY05,"99,776,703","77,061,523",2005,0,"37,902,920","29,273,935",99776703.0,77061523.0,37902920.0,29273935.0
FY04,"98,892,915","74,151,040",2004,0,"37,529,802","28,140,275",98892915.0,74151040.0,37529802.0,28140275.0
FY03,"108,906,600","79,897,037",2003,0,"39,298,898","28,830,810",108906600.0,79897037.0,39298898.0,28830810.0
FY02,"136,036,484","97,649,103",2002,0,"42,467,089","30,483,537",136036484.0,97649103.0,42467089.0,30483537.0
FY01,"137,128,420","96,720,235",2001,0,"45,184,941","31,870,112",137128420.0,96720235.0,45184941.0,31870112.0
